City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kurumkan,RU,54.3,110.3,35.89,47,98,3.98,overcast clouds
80,Coquimbo,CL,-29.9533,-71.3436,60.53,82,0,6.91,clear sky
81,Tuatapere,NZ,-46.1333,167.6833,55.69,81,91,5.75,overcast clouds
82,Tual,ID,-5.6667,132.75,83.91,73,93,5.17,overcast clouds
83,Talnakh,RU,69.4865,88.3972,15.21,95,99,8.86,overcast clouds
84,Sept-Iles,CA,50.2001,-66.3821,35.06,96,100,0.0,fog
85,Cherskiy,RU,68.75,161.3,33.39,97,96,2.55,overcast clouds
86,Cap Malheureux,MU,-19.9842,57.6142,73.47,79,13,5.01,few clouds
87,Safonovo,RU,55.15,33.2167,38.19,85,83,4.27,broken clouds
88,Albany,US,42.6001,-73.9662,52.18,89,100,3.0,moderate rain
89,Ust-Kuyga,RU,70.0167,135.6,13.48,86,45,4.81,scattered clouds
90,Galesong,ID,-5.3166,119.3661,80.62,75,100,7.11,overcast clouds
91,Kisangani,CD,0.5167,25.2,70.23,97,100,2.64,overcast clouds
92,Staunton,US,38.1496,-79.0717,56.32,94,40,3.44,scattered clouds
93,Jamestown,US,42.097,-79.2353,42.03,56,75,13.0,broken clouds
94,Santarem,BR,-2.4431,-54.7083,74.64,97,100,2.51,overcast clouds
95,Fortuna,US,40.5982,-124.1573,55.09,67,100,17.27,overcast clouds
96,Sitka,US,57.0531,-135.33,46.58,74,81,4.88,broken clouds
97,Simao,CN,22.7886,100.9748,74.71,37,0,2.91,clear sky
98,Ostersund,SE,63.1792,14.6357,27.05,80,44,8.05,scattered clouds
99,Adlay,PH,9.4097,125.8975,84.72,73,100,5.7,overcast clouds
100,Khatanga,RU,71.9667,102.5,17.83,87,100,9.75,overcast clouds
101,Inhambane,MZ,-23.865,35.3833,69.84,70,0,10.92,clear sky
102,Taree,AU,-31.9,152.4667,70.07,77,100,2.48,overcast clouds
103,Sur,OM,22.5667,59.5289,85.23,44,79,11.1,broken clouds
104,Kutum,SD,14.2,24.6667,77.83,24,78,7.9,broken clouds
105,Kaitangata,NZ,-46.2817,169.8464,55.26,77,77,6.24,broken clouds
106,Kapaa,US,22.0752,-159.319,80.58,77,64,5.99,broken clouds
107,Lazaro Cardenas,MX,17.9583,-102.2,79.14,60,1,5.7,clear sky
108,Praia,CV,14.9215,-23.5087,70.88,79,44,18.54,scattered clouds
109,Port Lincoln,AU,-34.7333,135.8667,65.48,72,43,6.02,scattered clouds
110,Te Anau,NZ,-45.4167,167.7167,55.76,67,61,1.03,broken clouds
111,Adrar,MR,20.5022,-10.0711,69.51,36,0,10.36,clear sky
112,Hermanus,ZA,-34.4187,19.2345,50.81,81,0,9.91,clear sky
113,Shimoda,JP,34.6667,138.95,69.08,95,100,18.75,overcast clouds
114,Bulgan,MN,48.8125,103.5347,38.23,23,65,1.01,broken clouds
115,Pervomayskoye,RU,43.919,46.7102,58.42,59,100,12.08,overcast clouds
116,Cravo Norte,CO,6.3017,-70.2041,84.4,64,99,6.35,overcast clouds
117,Kizukuri,JP,40.8061,140.3861,56.1,67,47,21.0,scattered clouds
